3,-8,-21,1.85,2.2,44,-0.0467518,-0.077,-0.0390554,-0.0466667
3,-17,-22,1.85,2.2,69,-0.0400789,-0.05,-0.0388609,-0.0460526
3,-15,-14,1.85,2.2,44,-0.0408123,-0.0525,-0.0412646,-0.0540909
8,-13,-25,1.85,2.2,39,-0.0978467,-0.147,-0.0578382,-0.0679412
12,-4,-14,1.85,2.2,41,0.0805285,0.07,-0.219545,-0.455
5,-10,-17,1.85,2.2,62,-0.0671898,-0.105,-0.0509206,-0.0641667
4,-12,-24,1.85,2.2,52,-0.0502792,-0.07,-0.0418879,-0.049
3,-17,-17,1.85,2.2,67,-0.0400789,-0.05,-0.0400789,-0.05
12,-4,-15,1.85,2.2,48,0.0805285,0.07,-0.181495,-0.315
3,-10,-21,1.85,2.2,27,-0.044096,-0.065,-0.0390554,-0.0466667
3,-8,-21,1.85,2.2,44,-0.0467518,-0.077,-0.0390554,-0.0466667
3,-17,-22,1.85,2.2,69,-0.0400789,-0.05,-0.0388609,-0.0460526
3,-15,-14,1.85,2.2,44,-0.0408123,-0.0525,-0.0412646,-0.0540909
8,-13,-25,1.85,2.2,39,-0.0978467,-0.147,-0.0578382,-0.0679412
12,-4,-14,1.85,2.2,41,0.0805285,0.07,-0.219545,-0.455
5,-10,-17,1.85,2.2,62,-0.0671898,-0.105,-0.0509206,-0.0641667
4,-12,-24,1.85,2.2,52,-0.0502792,-0.07,-0.0418879,-0.049
3,-17,-17,1.85,2.2,67,-0.0400789,-0.05,-0.0400789,-0.05
12,-4,-15,1.85,2.2,48,0.0805285,0.07,-0.181495,-0.315
3,-10,-21,1.85,2.2,27,-0.044096,-0.065,-0.0390554,-0.0466667
3,-15,-17,1.85,2.2,32,-0.0408123,-0.0525,-0.0400789,-0.05
8,-11,-18,1.85,2.2,69,-0.123763,-0.221667,-0.0713291,-0.091
11,-4,-15,1.85,2.2,79,0.0893689,0.075,-0.144487,-0.2275
9,-6,-20,1.85,2.2,34,0.400217,0.175,-0.0739494,-0.0922727
6,-4,-20,1.85,2.2,42,1.90167,0.175,-0.0533281,-0.065
11,-15,-16,1.85,2.2,72,-0.144487,-0.2275,-0.128504,-0.189
12,-11,-24,1.85,2.2,50,-0.870882,0.805,-0.0862996,-0.105
5,-3,-24,1.85,2.2,56,1.435,0.14,-0.0455755,-0.053421
4,-3,-22,1.85,2.2,48,-0.212059,0.245,-0.0425819,-0.0505555
6,-14,-21,1.85,2.2,39,-0.0644924,-0.0875,-0.0522403,-0.063
9,-10,-24,1.85,2.2,67,-0.210614,-0.665,-0.0647033,-0.077
6,-2,-19,1.85,2.2,76,0.100116,0.07,-0.0545623,-0.0673077
10,-17,-24,1.85,2.2,29,-0.0994633,-0.135,-0.0709937,-0.085
14,-10,-19,1.85,2.2,61,0.360581,0.21,-0.159161,-0.231
6,-12,-16,1.85,2.2,60,-0.0720064,-0.105,-0.0595148,-0.077
13,-12,-22,1.85,2.2,67,-0.953235,0.875,-0.106935,-0.136111
3,-11,-19,1.85,2.2,31,-0.0431726,-0.06125,-0.0395098,-0.048125
5,-14,-18,1.85,2.2,61,-0.0553226,-0.0738889,-0.0498485,-0.0619231
13,-10,-18,1.85,2.2,66,0.643696,0.268333,-0.148942,-0.217
9,-11,-18,1.85,2.2,68,-0.165,-0.35,-0.081129,-0.105
14,-11,-15,1.85,2.2,78,0.704565,0.291667,-0.333421,-1.015
5,-13,-15,1.85,2.2,44,-0.0573858,-0.07875,-0.0536076,-0.07
3,-17,-23,1.85,2.2,49,-0.0400789,-0.05,-0.0386842,-0.0455
7,-3,-20,1.85,2.2,46,0.132674,0.0875,-0.0592761,-0.0726923
10,-13,-23,1.85,2.2,65,-0.152629,-0.268333,-0.0734175,-0.0888461
2,-9,-16,1.85,2.2,78,-0.0361864,-0.055,-0.0356625,-0.045
5,-5,-22,1.85,2.2,49,-0.154189,-1.85364e+06,-0.0466976,-0.0555882
12,-13,-22,1.85,2.2,62,-0.284298,-0.875,-0.0949578,-0.119
6,-5,-16,1.85,2.2,30,-0.376765,0.385,-0.0595148,-0.077
8,-13,-23,1.85,2.2,60,-0.0978467,-0.147,-0.0605489,-0.0723333
13,-2,-14,1.85,2.2,53,0.0503005,0.0477273,-0.30886,-0.944999
15,-16,-19,1.85,2.2,45,-0.357983,-1.085,-0.19235,-0.2975
14,-6,-16,1.85,2.2,35,0.103293,0.0875,-0.255909,-0.525
5,-2,-19,1.85,2.2,60,0.156739,0.0816667,-0.0489117,-0.06
5,-15,-15,1.85,2.2,25,-0.0536076,-0.07,-0.0536076,-0.07
4,-9,-19,1.85,2.2,45,-0.0569708,-0.091,-0.0439317,-0.0536667
11,-17,-24,1.85,2.2,26,-0.116592,-0.163333,-0.0781313,-0.0942308
2,-13,-19,1.85,2.2,78,-0.0358171,-0.0477273,-0.035557,-0.0432353
3,-3,-22,1.85,2.2,37,-0.0785135,-2.22437e+06,-0.0388609,-0.0460526
7,-5,-16,1.85,2.2,26,2.36833,0.21,-0.0682258,-0.0894444
8,-6,-23,1.85,2.2,76,2.835,0.245,-0.0605489,-0.0723333
15,-12,-12,1.85,2.2,41,0.765434,0.315,0.765434,0.315
6,-4,-12,1.85,2.2,57,1.90167,0.175,-0.0720064,-0.105
15,-15,-23,1.85,2.2,45,-0.532568,1.23576e+06,-0.128452,-0.16625
2,-17,-18,1.85,2.2,40,-0.0356231,-0.0443333,-0.0355882,-0.04375
2,-13,-22,1.85,2.2,54,-0.0358171,-0.0477273,-0.0354805,-0.042
8,-8,-23,1.85,2.2,76,-0.267703,-inf,-0.0605489,-0.0723333
10,-12,-23,1.85,2.2,51,-0.183182,-0.385,-0.0734175,-0.0888461
6,-2,-17,1.85,2.2,68,0.100116,0.07,-0.057607,-0.0731818
9,-6,-16,1.85,2.2,76,0.400217,0.175,-0.0915537,-0.125
10,-6,-25,1.85,2.2,72,0.230349,0.14,-0.0688576,-0.0816667
10,-2,-24,1.85,2.2,31,0.0577642,0.0525,-0.0709937,-0.085
3,-4,-19,1.85,2.2,26,-0.0632456,-0.245,-0.0395098,-0.048125
3,-4,-12,1.85,2.2,74,-0.0632456,-0.245,-0.0424194,-0.0583333
10,-2,-14,1.85,2.2,67,0.0577642,0.0525,-0.132521,-0.21
12,-11,-24,1.85,2.2,65,-0.870882,0.805,-0.0862996,-0.105
4,-12,-12,1.85,2.2,62,-0.0502792,-0.07,-0.0502792,-0.07
10,-10,-14,1.85,2.2,53,-0.343378,-3.70728e+06,-0.132521,-0.21
6,-13,-17,1.85,2.2,63,-0.0678249,-0.095,-0.057607,-0.0731818
12,-9,-15,1.85,2.2,76,0.582826,0.245,-0.181495,-0.315
7,-4,-23,1.85,2.2,71,0.278478,0.128333,-0.0551961,-0.065625
12,-5,-23,1.85,2.2,30,0.102961,0.085,-0.0902918,-0.111364
7,-6,-15,1.85,2.2,38,-0.459118,0.455,-0.071599,-0.09625
9,-6,-24,1.85,2.2,48,0.400217,0.175,-0.0647033,-0.077
6,-4,-14,1.85,2.2,77,1.90167,0.175,-0.0644924,-0.0875
14,-6,-22,1.85,2.2,55,0.103293,0.0875,-0.121345,-0.1575
6,-5,-23,1.85,2.2,37,-0.376765,0.385,-0.0504111,-0.0597059
3,-4,-19,1.85,2.2,29,-0.0632456,-0.245,-0.0395098,-0.048125
10,-14,-19,1.85,2.2,58,-0.132521,-0.21,-0.0875806,-0.112778
14,-12,-20,1.85,2.2,68,5.63499,0.455,-0.143344,-0.198333
